Metal,Relation,lag_months,N,pearson_r,p_raw,spearman_rho,spearman_p,p_BH
Copper,ONI_logprice,1,414,-0.088702050152906,0.07140108470551712,-0.1502844364346351,0.0021692788171409428,0.2915544292141949
Copper,ONI_logprice,2,413,-0.1040197649458543,0.03457850928503266,-0.1677744983187938,0.0006181019327876985,0.1882607727740667
Copper,ONI_logprice,3,412,-0.11472648299002548,0.019842433064618043,-0.18160354960606903,0.00021071634189856852,0.1637392402291041
Copper,ONI_logprice,4,411,-0.12020382728831142,0.014755152137874995,-0.1890926091249225,0.00011494073066991213,0.1637392402291041
Copper,ONI_logprice,5,410,-0.12006861189923185,0.014991358546079036,-0.18854546891094984,0.00012273420917216068,0.1637392402291041
Copper,ONI_logprice,6,409,-0.11476510563449317,0.020257037575747927,-0.18047032188637163,0.00024370714068189158,0.1637392402291041
Copper,ONI_logprice,7,408,-0.10561135853772194,0.03295201456928782,-0.16657804070924936,0.0007300996370510606,0.1882607727740667
Copper,ONI_logprice,8,407,-0.09319375566058379,0.06032365197716068,-0.14916066347049764,0.002554228222315386,0.26871444971644304
Copper,ONI_logprice,9,406,-0.07941210528751846,0.11010971413261464,-0.1312042726329599,0.008121088134793735,0.38538399946415125
Copper,ONI_logprice,10,405,-0.06562899106732607,0.1874711288716056,-0.11375912375377759,0.02203756390464701,0.5403579596887456
Copper,ONI_logprice,11,404,-0.052796391584164,0.28976160321810385,-0.09672106964201975,0.052064211992012215,0.7131332528603967
Copper,ONI_logprice,12,403,-0.04219799422553198,0.3981868301672703,-0.08127289181299249,0.1032770129695868,0.7141395692443471
Copper,ONI_logprice,13,402,-0.03422685602554687,0.4937794698538724,-0.06711917670716817,0.17925263338618405,0.7141395692443471
Copper,ONI_logprice,14,401,-0.028221749431943877,0.5731025268775944,-0.05485858532294406,0.27310570985430543,0.7407939330580265
Copper,ONI_logprice,15,400,-0.02299457723411667,0.6465839650776692,-0.04215317878896387,0.4004605591611997,0.7920653572201448
Copper,ONI_logprice,16,399,-0.01758181950235907,0.7262472869064344,-0.029186472761251976,0.5610422499210761,0.8291008240523517
Copper,ONI_logprice,17,398,-0.011114496119327785,0.8250590129762454,-0.015747093894485503,0.7541402164843022,0.8788672094746961
Copper,ONI_logprice,18,397,-0.004090226492383047,0.9352506522257614,-0.003648406354151826,0.942231854106501,0.9502448632289042
Copper,ONI_logprice,19,396,0.004571554148367876,0.927742354830419,0.009252884404680594,0.8543649690070115,0.9502448632289042
Copper,ONI_logprice,20,395,0.012114176247138368,0.8103222919805668,0.018895413158460755,0.7081199930449562,0.8788672094746961
Copper,ONI_logprice,21,394,0.01938799849731391,0.7012348228251273,0.026622466679239502,0.5982940851815234,0.8291008240523517
Copper,ONI_logprice,22,393,0.026779344518537723,0.596608642806688,0.034053862344044505,0.5008605239768701,0.749585217885326
Copper,ONI_logprice,23,392,0.03380830339651555,0.5045016804924476,0.03962185332332273,0.43405314363104697,0.7141395692443471
Copper,ONI_logprice,24,391,0.04025160503230328,0.4273716110274846,0.04360144108744639,0.38989306687079295,0.7141395692443471
Aluminum,ONI_return,-24,390,0.025961037923154184,0.6092600913123005,-0.0024058700470370206,0.9622265576650306,0.7724189273357471
Aluminum,ONI_return,-23,391,0.027686714108378495,0.5851888665466262,-0.008228760777698367,0.8711522912491643,0.7724189273357471
Aluminum,ONI_return,-22,392,0.024366273529542966,0.6305460631312222,-0.009925485799903351,0.8446948116967948,0.7724189273357471
Aluminum,ONI_return,-21,393,0.008345371040447842,0.8690097643536837,-0.022358617799327903,0.6585719179740673,0.9059889032623512
Aluminum,ONI_return,-20,394,-0.02520217169509196,0.6179635171732504,-0.049414280706524864,0.3279126898795519,0.7724189273357471
Aluminum,ONI_return,-19,395,-0.06019297486034774,0.2326333270449554,-0.08220538422605582,0.10280930850619481,0.39307010431733846
Aluminum,ONI_return,-18,396,-0.0945375856420533,0.060170987083428704,-0.10442287516244339,0.037792174870180294,0.14741891835440032
Aluminum,ONI_return,-17,397,-0.12354843100574245,0.013763878557153181,-0.11828390503884297,0.018391476645488455,0.08625804241553206
Aluminum,ONI_return,-16,398,-0.15514223595153104,0.0019082109177588995,-0.14062008887967983,0.004946211169312702,0.02337558374254652
Aluminum,ONI_return,-15,399,-0.18568179661432538,0.00019160150129300492,-0.1528543001787057,0.0022008834484203146,0.007643071494711741
Aluminum,ONI_return,-14,400,-0.17935543570217932,0.00031196210182496897,-0.1529162714997445,0.0021635626177476616,0.007643071494711741
Aluminum,ONI_return,-13,401,-0.16653810271395703,0.000814200906168554,-0.14515219125112158,0.0035792982523948566,0.01329861480075305
Aluminum,ONI_return,-12,402,-0.13899594794571676,0.005242453892544201,-0.128778087714116,0.009745720053229873,0.05137604814693317
Aluminum,ONI_return,-11,403,-0.11044275270829741,0.026621572604163812,-0.10809806764997862,0.030031526327397817,0.08625804241553206
Aluminum,ONI_return,-10,404,-0.07189232599868221,0.14918745046654586,-0.07225843251664014,0.14712209124393388,0.28116096434079796
Aluminum,ONI_return,-9,405,-0.037232335006456445,0.45492503741443896,-0.04191120676900909,0.40023057800314515,0.67549475252447
Aluminum,ONI_return,-8,406,-0.01337674784707497,0.788149007751427,-0.02284462284446373,0.6462721661383749,0.8395500299960853
Aluminum,ONI_return,-7,407,0.0033388467813766833,0.9464609216075272,-0.01070957311140309,0.8294561095712015,0.9464609216075272
Aluminum,ONI_return,-6,408,0.015597481386285575,0.7534403897668626,-0.0027401066664682686,0.9559968657984675,0.8395500299960853
Aluminum,ONI_return,-5,409,0.015389204914349948,0.7563379558176537,-0.0020502839043086874,0.967026785565556,0.8395500299960853
Aluminum,ONI_return,-4,410,0.021699019920530062,0.6613269727655594,-0.0007785910333601763,0.9874600554831671,0.7903663820856686
Aluminum,ONI_return,-3,411,0.024164478484837573,0.6252176467953873,-0.005736451669313685,0.9076980185139085,0.7724189273357471
Aluminum,ONI_return,-2,412,0.016879690193116293,0.7326491727705412,-0.013641486039528023,0.782499285570777,0.8395500299960853
Aluminum,ONI_return,-1,413,-0.006105373558897266,0.9015520602575372,-0.03260144707329539,0.5088000545400037,0.9203343948462359
Aluminum,ONI_return,0,414,-0.03331542402986628,0.49903637843186416,-0.054610912083260625,0.26758745454454236,0.7191994865635689
Aluminum,ONI_return,1,414,-0.051980109401331576,0.29135471126021073,-0.0769677715198812,0.11790032604312446,0.47339662738039
Aluminum,ONI_return,2,413,-0.06485626827400105,0.18836690540591142,-0.08609491042669168,0.08053357415742954,0.3418510505514689
Aluminum,ONI_return,3,412,-0.06310576618592753,0.2011472426868583,-0.07957442986249,0.10678022256288018,0.35200767470200206
Aluminum,ONI_return,4,411,-0.051299386175980476,0.29949582548555287,-0.060877581690111544,0.2181123271825304,0.47339662738039
Aluminum,ONI_return,5,410,-0.025103753604527886,0.6122669187295154,-0.030044639859181356,0.5440917087069708,0.7724189273357471
Aluminum,ONI_return,6,409,0.01410834493108546,0.7760544107246486,0.005874069705551744,0.9057244603360348,0.8395500299960853
Aluminum,ONI_return,7,408,0.04772177386717433,0.3362892182368983,0.03070594094687678,0.5362638810523669,0.5149428654252506
Aluminum,ONI_return,8,407,0.07324788805521808,0.14017011671617116,0.04843813436946141,0.3296746676893076,0.2747334287636955
Aluminum,ONI_return,9,406,0.08860463524089221,0.07453124537929628,0.05444278244952069,0.2737702562491538,0.17390623921835802
Aluminum,ONI_return,10,405,0.10056466762246762,0.0431040993381195,0.06988379592561335,0.16039208920154108,0.11733893708710307
Aluminum,ONI_return,11,404,0.11234036737813897,0.023935084187093555,0.09021157477137642,0.07009339251581695,0.08625804241553206
Aluminum,ONI_return,12,403,0.10963748636423305,0.027753101679997696,0.09979112944278322,0.04527717666547363,0.08625804241553206
Aluminum,ONI_return,13,402,0.11714233548571404,0.01879979804910511,0.11981407299008473,0.016241273281104456,0.08625804241553206
Aluminum,ONI_return,14,401,0.11518907818304018,0.021046829799377918,0.122818858491004,0.013851473171639924,0.08625804241553206
Aluminum,ONI_return,15,400,0.12108712011881298,0.015389300888116467,0.14509142625134056,0.0036357300932259,0.08625804241553206
Aluminum,ONI_return,16,399,0.12036765579375308,0.01614810519132401,0.15365478843540115,0.002084505380342065,0.08625804241553206
Aluminum,ONI_return,17,398,0.11839408008920432,0.01813542524232656,0.15775947880624347,0.0015930000861362514,0.08625804241553206
Aluminum,ONI_return,18,397,0.11547245172752653,0.021379184113556084,0.15331733765147196,0.0021889257029045687,0.08625804241553206
Aluminum,ONI_return,19,396,0.11031317704690807,0.02816589140099006,0.14743320502972643,0.0032747647804043127,0.08625804241553206
Aluminum,ONI_return,20,395,0.104308035960449,0.038249886042489155,0.1468652655466846,0.003438831197076439,0.11024967153423344
Aluminum,ONI_return,21,394,0.09647805234880859,0.05569484638165206,0.14484724680755798,0.003961515740205036,0.14363407751057639
Aluminum,ONI_return,22,393,0.08677772003035022,0.08578498077595406,0.1362006084190511,0.0068493164734391866,0.1827593068705108
Aluminum,ONI_return,23,392,0.08884758597123946,0.07892617686892701,0.1376135989313861,0.006354523252683051,0.17579012120806473
Aluminum,ONI_return,24,391,0.0820658096478903,0.10517108768246107,0.12767953640600083,0.01150524719271194,0.21472430401835801
Aluminum,dONI_return,-24,390,-0.007257520899990835,0.8863957087079348,-0.015120085982252889,0.765965476040391,0.9651864383708624
Aluminum,dONI_return,-23,391,0.03371542641558299,0.5062206830050242,0.02304783742868265,0.6495821732239839,0.8553383954222823
Aluminum,dONI_return,-22,392,0.09115722215460921,0.07141768429381792,0.07605824356177496,0.13277572504930335,0.23329776869313854
Aluminum,dONI_return,-21,393,0.13439158717163904,0.007634157979928761,0.1002916025657933,0.04693541939051844,0.05343910585950133
Aluminum,dONI_return,-20,394,0.13513832616316518,0.007226346890237836,0.10843902766677736,0.03140020303989364,0.05343910585950133
Aluminum,dONI_return,-19,395,0.14596343923026947,0.003644951940942645,0.0931375247834016,0.0644250856477094,0.044650661276547404
Aluminum,dONI_return,-18,396,0.13405873566704127,0.0075542239120072715,0.08301436750603378,0.09902656452183888,0.05343910585950133
Aluminum,dONI_return,-17,397,0.1281312737804156,0.010603867408927062,0.08626255732701951,0.08606131085275082,0.06494868787967825
Aluminum,dONI_return,-16,398,0.07672466917034246,0.12648988462077984,0.03161751200034068,0.5293878647338903,0.36458849096577717
Aluminum,dONI_return,-15,399,-0.010095748801484367,0.8406713154720128,-0.0395419564170083,0.43088389471451133,0.9362021467756506
Aluminum,dONI_return,-14,400,-0.037834470137126694,0.45049409575639776,-0.04253019904741623,0.39625649046881567,0.8224968962933611
Aluminum,dONI_return,-13,401,-0.09854303525485637,0.04861364986350823,-0.06673564921421661,0.18230358227448454,0.1832360648701464
Aluminum,dONI_return,-12,402,-0.1190433814349503,0.01694601661720121,-0.07960220889124946,0.11103033777030369,0.08461195666993049
Aluminum,dONI_return,-11,403,-0.14849888385646645,0.0028042365187980704,-0.11894639161811035,0.01689882242941402,0.044650661276547404
Aluminum,dONI_return,-10,404,-0.11840690417804735,0.01726774625916949,-0.07499348085629622,0.13237563211523626,0.08461195666993049
Aluminum,dONI_return,-9,405,-0.0940712407697573,0.058558671139648986,-0.04979350508582323,0.31750513512627354,0.20495534898877146
Aluminum,dONI_return,-8,406,-0.05990747254239332,0.22841089401392145,-0.019575231998715806,0.6941336784699296,0.5533814269196824
Aluminum,dONI_return,-7,407,-0.01110877666553698,0.8232018262774908,0.02156183400721624,0.6645018081149204,0.9362021467756506
Aluminum,dONI_return,-6,408,-0.010592947602951448,0.8310800451097994,0.003585301750315241,0.9424446627236752,0.9362021467756506
Aluminum,dONI_return,-5,409,0.017025792514144572,0.7313754829480882,0.04511370829820182,0.36280175588857605,0.9362021467756506
Aluminum,dONI_return,-4,410,0.017502537916388578,0.7238302290900636,0.029472541134273403,0.5517894820902947,0.9362021467756506
Aluminum,dONI_return,-3,411,0.03600869091336084,0.46660021470387963,0.017957491523132245,0.7166234516563457,0.8224968962933611
Aluminum,dONI_return,-2,412,0.06404245158606196,0.1945271554344832,0.05152954795464449,0.29673939574176394,0.5016752955941935
Aluminum,dONI_return,-1,413,0.07217493112252467,0.14313042547435267,0.036630925890181736,0.457832105268397,0.3896328249024045
Aluminum,dONI_return,0,414,0.07583507990201502,0.12342162692338528,0.05003465376681971,0.30981384865107076,0.36458849096577717
Aluminum,dONI_return,1,413,0.02457541098444325,0.6184890600630678,0.003252913719455812,0.9474520014381702,0.9362021467756506
Aluminum,dONI_return,2,412,-0.010098937392068172,0.8380655759029818,-0.03133298660727737,0.5259414185391418,0.9362021467756506
Aluminum,dONI_return,3,411,-0.058437148832954394,0.23716346867986385,-0.05437121680887476,0.2714491138448249,0.5533814269196824
