Metal,Signal,Horizon_m,N,Pearson_r,p_raw,Spearman_rho,Spearman_p,slope_pct_per_ONI,HAC_t,HAC_p
Aluminum,ONI,3,412,-0.07995459453384156,0.10511083117734707,-0.11352602744814655,0.021178822505624126,-0.96042257158353,-1.2023848826020418,0.22921444352621723
Aluminum,dONI,3,411,-0.008079016852264144,0.8702894539311089,-0.0379733954766846,0.44262260734299763,-0.40005543443090585,-0.11477036817659948,0.9086271365892814
Aluminum,ONI,6,409,-0.07043825753157303,0.15504586290926456,-0.09052961493722748,0.06739931117566818,-1.2974407843502278,-0.8789218928341812,0.37944362735551707
Aluminum,dONI,6,408,-0.12882129580134685,0.009188992908577472,-0.12984246866595728,0.00864539876464479,-9.876350379550054,-1.444394858548327,0.14862793615715184
Aluminum,ONI,12,403,0.07431795767049681,0.13639558410810995,0.06931366884625144,0.16489027381381244,1.9094747639471918,0.5610079334250655,0.5747921289062391
Aluminum,dONI,12,402,-0.1454844183325468,0.003461876134819941,-0.11503477477819868,0.021059216381820216,-15.582628306412657,-1.694113651383134,0.0902436887299649
Aluminum,ONI,18,397,0.2056035884810875,3.66108482288947e-05,0.2341337807289048,2.4042757912577813e-06,6.059951907119478,1.5939275945699916,0.11095225303381333
Aluminum,dONI,18,396,-0.12345148255639202,0.013959734051232821,-0.11969972563536244,0.01717040233048366,-15.226237195173915,-1.3881317833237132,0.16509691992507447
Aluminum,ONI,24,391,0.2955090313470084,2.5505287732638078e-09,0.3561350814976819,3.901565048643467e-13,9.481160600105135,3.1923191148148278,0.0014113531201241532
Aluminum,dONI,24,390,-0.08201640217550281,0.10583064097865418,-0.09432228621038136,0.06276007191488561,-11.01741733593009,-1.031440944422558,0.30233408854560284
Nickel,ONI,1,414,-0.08143069413831631,0.09800389459890657,-0.08563549978535552,0.08179677584420054,-0.7831387075014532,-1.5395545768023664,0.12366896483139482
Nickel,dONI,1,413,-0.018515275246723518,0.7075365808891183,-0.05697820009054468,0.24794175491055212,-0.7290011377645808,-0.3100236770370402,0.756542951155071
Nickel,ONI,3,412,-0.1037266556044026,0.035317022463052974,-0.12640312398462805,0.010222316846382218,-2.099661899007833,-1.3844503089490117,0.1662206134536225
Nickel,dONI,3,411,-0.07278798629549374,0.1407238057864761,-0.11815707353413878,0.016551622194035276,-6.081658156298172,-0.8897682863727664,0.37359031864855385
Nickel,ONI,6,409,-0.0892122765776493,0.07150138037555694,-0.09509042597386964,0.054661732671892505,-2.6778313972621572,-0.8379917246207672,0.40203535120976164
Nickel,dONI,6,408,-0.13332833953107937,0.006999073179313464,-0.15920960408966373,0.0012526424469661193,-16.665176379922993,-1.3643369991474605,0.17246152621855704
Nickel,ONI,12,403,-0.0018497991806190244,0.9704697407160322,0.013505796819538984,0.7869316649461378,-0.08128144321626807,-0.012444695276398412,0.9900708260649838
Nickel,dONI,12,402,-0.06351169944758896,0.20382701061945463,-0.07608789922913432,0.12775477683618183,-11.626287147371318,-0.7800224077381644,0.4353776858666333
Nickel,ONI,18,397,0.03980413611438597,0.42899971686788113,0.07205871294524874,0.15183040242404272,2.1120136976300494,0.33946378224371626,0.7342603765452603
Nickel,dONI,18,396,-0.13258093951469754,0.008250123572663708,-0.15275387379588146,0.002303227605330507,-29.400866099081775,-1.2509021757346486,0.2109701699903782
Nickel,ONI,24,391,0.1562685522670619,0.001940580768057901,0.20592679934285044,4.078989971074264e-05,9.035718630821627,2.0219512791954912,0.0431813853929671
Nickel,dONI,24,390,-0.12057669094395802,0.01720706467956562,-0.1413281631191067,0.005172401299759645,-29.171780080388363,-1.3026030879659518,0.19271030300204717
