scenario,oni,temperature,metals,ticker,start_price,mean_return,median_return,p05_return,p25_return,p75_return,p95_return,prob_positive,prob_gain20,prob_loss20,cvar05_return,median_end_price,p05_end_price,p95_end_price
ONI Low | Temp Low | Metals Down,Low,Low,Down,MOD,189.3,0.09300239716467472,0.06237545741659112,-0.3674256934138302,-0.12692018208997094,0.2823047807892866,0.64906814133926,0.585,0.3329,0.17,-0.46588828038314395,201.10767408896072,119.74631623676194,312.1685991555219
ONI Low | Temp Central | Metals Base,Low,Central,Base,MOD,189.3,0.11356573063480807,0.08236258723260315,-0.3555246797978372,-0.11049438879958126,0.3064295776663273,0.680093085285676,0.6093,0.3587,0.1545,-0.4558397046167241,204.89123776313178,121.99917811426944,318.0416210445785
ONI Low | Temp Central | Metals Base,Low,Central,Base,AAON,79.795,0.0045295692701859845,0.0034543040696853877,-0.32269177244145475,-0.12284442345297142,0.1341859707669928,0.31680039527469067,0.5063,0.1521,0.1377,-0.41379886328282417,80.07063619324055,54.04581001803412,105.07408754094394
ONI Low | Temp Central | Metals Base,Low,Central,Base,VRT,257.06,0.2376928592714057,0.21892333152972177,-0.26793505239785514,0.029950169859082443,0.43233775186408147,0.800597497446252,0.7806,0.5256,0.0786,-0.3669734725509201,313.3364316030303,188.18461543060735,462.86159269353357
ONI Low | Temp Central | Metals Base,Low,Central,Base,NVT,162.38,0.007809552339215881,0.004306559997792836,-0.22316917972834488,-0.08766785664344098,0.0946345882566812,0.263324961203969,0.5133,0.0963,0.0699,-0.2689102634068681,163.07929921244158,126.14178859571135,205.13870720030047
ONI Low | Temp Central | Metals Base,Low,Central,Base,JCI,146.01,-0.025920996638543897,-0.01967713142416677,-0.22889560335589632,-0.10029174782367029,0.05263257464255622,0.1551848714690849,0.4286,0.02,0.0743,-0.28662058002461205,143.1369420407574,112.58895295400556,168.6685430832011
ONI Low | Temp Central | Metals Base,Low,Central,Base,TT,442.52,0.029440385171150878,0.03262139167260225,-0.17557633994574207,-0.05298628934002961,0.11360829334871231,0.22889747321929177,0.6013,0.0817,0.0344,-0.24184003147951286,456.95561824295993,364.82395804721017,543.811709849001
ONI Low | Temp Central | Metals Base,Low,Central,Base,SPXC,191.82,-0.02982651536596053,-0.03248683883431741,-0.23192945578550406,-0.11359136664863717,0.05250379502364161,0.17843819342458636,0.3979,0.0364,0.0799,-0.29807111933653085,185.5883745748012,147.3312917912246,226.04801426270416
ONI Low | Temp Central | Metals Base,Low,Central,Base,Basket,100.0,0.04818436924032317,0.05401498006367078,-0.20076099890005994,-0.042928823154412016,0.14698470225748056,0.27247891426745613,0.6486,0.1392,0.0502,-0.27277338431119047,105.40149800636709,79.92390010999401,127.24789142674561
ONI Low | Temp Central | Metals Up,Low,Central,Up,MOD,189.3,0.12776839690592515,0.09616728163716626,-0.3473048974886378,-0.09914943538137247,0.32309207255806016,0.7015213680877348,0.6282,0.3759,0.1448,-0.44889936255993734,207.50446641391557,123.55518290540087,322.09799497900826
ONI Low | Temp Central | Metals Up,Low,Central,Up,AAON,79.795,-0.02793102832605528,-0.02897154716163991,-0.3445784649749305,-0.15118902879921173,0.09753562664310844,0.27424900698988613,0.442,0.1054,0.1747,-0.43274150050480276,77.48321539423694,52.29936138732542,101.67869951275796
ONI Low | Temp Central | Metals Up,Low,Central,Up,VRT,257.06,0.21855689893491745,0.20007756672575905,-0.27925350325269366,0.014026117739572852,0.41019238825241716,0.7727584725742858,0.764,0.5002,0.084,-0.3767606911087952,308.49193930252363,185.27509445386258,455.70529295994595
ONI Low | Temp Central | Metals Up,Low,Central,Up,NVT,162.38,0.023854201655432145,0.02029544055934207,-0.21080178545195874,-0.07314323811200157,0.11206151982050083,0.2834374972757819,0.5564,0.1134,0.0585,-0.25727108176278146,165.67557363802595,128.15000607831092,208.40458080764145
ONI Low | Temp Central | Metals Up,Low,Central,Up,JCI,146.01,-0.0202517958914624,-0.013971590990862703,-0.2244077275199048,-0.09505538950181791,0.0587589620895419,0.16190811970023447,0.4473,0.0227,0.07,-0.28246866716464836,143.97000799942413,113.2442277048187,169.65020455743124
ONI Low | Temp Central | Metals Up,Low,Central,Up,TT,442.52,0.027852785520509814,0.031028886283966828,-0.176847763462379,-0.05444677083837901,0.11189089022082022,0.22700227148905036,0.5966,0.079,0.0346,-0.2430092633442148,456.250902758381,364.26132771262803,542.9730451793346
ONI Low | Temp Central | Metals Up,Low,Central,Up,SPXC,191.82,-0.041790941019304036,-0.044418456703429476,-0.2414014966816165,-0.12452278289551047,0.039524051086223755,0.1639053945225351,0.3588,0.0274,0.0916,-0.30672748445024106,183.29965163514817,145.5143649065323,223.26033277731267
ONI Low | Temp Central | Metals Up,Low,Central,Up,Basket,100.0,0.04400835968285183,0.04936992753139968,-0.2036033119467307,-0.04663530695230739,0.14232996422606786,0.2675174833988831,0.6377,0.1309,0.0518,-0.27546141890626974,104.93699275313998,79.63966880532693,126.7517483398883
ONI Low | Temp High | Metals Down,Low,High,Down,MOD,189.3,0.10620271842468937,0.07520589344585538,-0.3597860175179406,-0.1163758922403384,0.297791329678457,0.6689841353954503,0.5999,0.3501,0.16,-0.45943774897903106,203.53647562930044,121.19250688385385,315.93869683035877
ONI Low | Temp High | Metals Down,Low,High,Down,AAON,79.795,0.05549709964637291,0.05436727795152374,-0.28832670373848807,-0.07833955783235785,0.19173197009413023,0.3836118323877841,0.6114,0.2376,0.098,-0.38405635977056374,84.13323694414184,56.787970675187346,110.40530616538324
ONI Low | Temp High | Metals Down,Low,High,Down,VRT,257.06,0.28702723349699877,0.26750955333712023,-0.23875498093513067,0.07100393108337577,0.4894306615779702,0.8723692218310659,0.8159,0.5897,0.0648,-0.3417410674627267,325.8260057808401,195.6856446008153,481.3112321638938
ONI Low | Temp High | Metals Down,Low,High,Down,NVT,162.38,-0.018195950897578878,-0.021608552074855958,-0.24321451107505235,-0.11120966218797221,0.06638865303812402,0.2307261420208625,0.4331,0.0715,0.0927,-0.28777529248625194,158.87120331408488,122.886827691633,199.84531094134766
ONI Low | Temp High | Metals Down,Low,High,Down,JCI,146.01,-0.02847390206402372,-0.022246401022703144,-0.23091654476928355,-0.10264973939355695,0.049873792858359856,0.1521573165011319,0.4187,0.0188,0.0767,-0.28849023349768355,142.7618029866751,112.2938752982369,168.22648978233025
ONI Low | Temp High | Metals Down,Low,High,Down,TT,442.52,0.0461215454596672,0.04935409732507923,-0.1622172922368027,-0.037640779555783876,0.13165331927499024,0.24881065714350264,0.6503,0.1077,0.0279,-0.2295547275984881,464.36017514829405,370.73560383937007,552.6236919991428
ONI Low | Temp High | Metals Down,Low,High,Down,SPXC,191.82,-0.0006257338585692675,-0.003366129113641425,-0.2088116727301047,-0.08691178280232945,0.08418259664104377,0.21390743346379076,0.4896,0.0625,0.0567,-0.2769441021559765,191.1743091134213,151.76574493691132,232.85172388702435
ONI Low | Temp High | Metals Down,Low,High,Down,Basket,100.0,0.06393614431536519,0.07022948565260545,-0.1888251878677077,-0.028212245267456165,0.16459549369702842,0.2920513657603828,0.6853,0.171,0.0441,-0.2625304861400213,107.02294856526055,81.11748121322924,129.20513657603829
ONI Low | Temp High | Metals Base,Low,High,Base,MOD,189.3,0.12031147519204424,0.08891930977795148,-0.35162058526266454,-0.10510595283184948,0.31434365042423357,0.6902707321671538,0.6191,0.3669,0.15,-0.4525432971844002,206.13242534096622,122.7382232097776,319.96824959924226
ONI Low | Temp High | Metals Base,Low,High,Base,AAON,79.795,0.021389525649807676,0.020296213270875052,-0.3113238769393916,-0.1081223035561234,0.15322207142394334,0.33890148408696896,0.5441,0.1778,0.1221,-0.403960103034167,81.41453633794947,54.952911239621244,106.83764392271968
ONI Low | Temp High | Metals Base,Low,High,Base,VRT,257.06,0.2671285147577819,0.2479125973095503,-0.25052458466359534,0.054445147058800325,0.46640258490256326,0.8434205348480025,0.8032,0.5658,0.0703,-0.3519184040529915,320.78841226439295,192.6601502663762,473.8696826880275
ONI Low | Temp High | Metals Base,Low,High,Base,NVT,162.38,-0.0025653174822415324,-0.006032248358040004,-0.23116624486322832,-0.09705983670483817,0.08336590030976915,0.2503196945002878,0.4813,0.0852,0.0781,-0.276436448118406,161.40048351162147,124.84322515910898,203.0269119929567
ONI Low | Temp High | Metals Base,Low,High,Base,JCI,146.01,-0.02281955938625222,-0.016555813899220173,-0.22644043093876698,-0.09742710473017949,0.05598412402274616,0.1588629441729357,0.4396,0.0215,0.0717,-0.2843492021379162,143.59268561257485,112.94743267863062,169.20557847869034
ONI Low | Temp High | Metals Base,Low,High,Base,TT,442.52,0.04450822017728698,0.04773578681161028,-0.1635093180338447,-0.03912492684996102,0.1299080871661596,0.2468847453650675,0.6464,0.1055,0.0284,-0.23074290581931764,463.6440403798738,370.16385658366306,551.7714375189496
ONI Low | Temp High | Metals Base,Low,High,Base,SPXC,191.82,-0.012950270960945517,-0.015656870966189396,-0.2185688079944071,-0.09817221844877105,0.07081218168164743,0.19893721889108784,0.4503,0.049,0.065,-0.28586101100782946,188.81669901126554,149.89413125051283,229.98013732768848
ONI Low | Temp High | Metals Base,Low,High,Base,Basket,100.0,0.05928608399249736,0.06527283216885549,-0.19186594495392487,-0.03281885752167388,0.15940507255801728,0.2862009731010819,0.6743,0.1614,0.0459,-0.2655336417449404,106.52728321688556,80.81340550460752,128.62009731010818
ONI Low | Temp High | Metals Up,Low,High,Up,MOD,189.3,0.13460017819728567,0.10280763008764249,-0.3433510092589858,-0.09369227409669909,0.33110708316914716,0.7118288229527976,0.6355,0.3844,0.1406,-0.445560912010295,208.76148437559073,124.303653947274,324.0491961849646
ONI Low | Temp High | Metals Up,Low,High,Up,AAON,79.795,-0.011615888421997058,-0.012673871255374058,-0.333577914240704,-0.1369426428422638,0.11595659040202255,0.2956359161778698,0.4757,0.126,0.1569,-0.4232206721986662,78.78368844317743,53.17715033316303,103.38526793141313
ONI Low | Temp High | Metals Up,Low,High,Up,VRT,257.06,0.24753744996492838,0.22861862967724345,-0.26211221863402406,0.03814237827414557,0.44373054515391513,0.8149194233047999,0.7885,0.5391,0.0758,-0.3619383889159167,315.8287049448322,189.68143307793778,466.5431869547319
ONI Low | Temp High | Metals Up,Low,High,Up,NVT,162.38,0.013314160599389476,0.009792035078951433,-0.2189261664128833,-0.082684741489704,0.10061343076953855,0.27022518258070205,0.5281,0.1017,0.0657,-0.264917085733926,163.97003065612012,126.83076909787601,206.2591651474544
ONI Low | Temp High | Metals Up,Low,High,Up,JCI,146.01,-0.01713230808030738,-0.010832107202622066,-0.2219382658456891,-0.09217407400628397,0.06213001769682891,0.1656075990173564,0.4617,0.0243,0.0675,-0.28018406971653326,144.42840402734515,113.60479380387092,170.19036553252417
