rule,horizon_days,trades,gross_cumulative_return,net_pre_tax_cumulative_return,after_tax_cumulative_return,mean_net_trade_return,median_net_trade_return,win_rate,commissions_paid,tax_paid,max_closed_trade_drawdown
S3 Strong and rising,60,2,-0.005869164583369391,-0.009853880225520584,-0.013663066856497874,-0.004821089462223287,-0.004821089462223287,0.5,395.9702041543676,380.9186630977284,-0.020148979228161945
S1 Strong level,5,10,0.008892423045016695,-0.011087525470757087,-0.014498440281035418,-0.0011005215677456087,-0.0026101542020681417,0.4,1978.7972564198442,342.0900145711953,-0.017438194387596417
S3 Strong and rising,20,6,0.0002994195630081631,-0.011644765286982772,-0.01477516509285659,-0.0018627750110966795,0.0006490118484849278,0.5,1187.522285460996,313.0399805873709,-0.02309324057103479
S1 Strong level,1,10,0.003875419942027669,-0.01601484580172452,-0.018737197205025313,-0.0016070361453017195,-0.0018498470937614014,0.3,1999.292332515092,278.75024500942175,-0.026074547435384732
S2 Very strong,2,6,-0.0072572898315119705,-0.0191252412115126,-0.0191252412115126,-0.0032032027796526905,-0.0041250687802414625,0.16666666666666666,1186.4952655661123,0.0,-0.02387800773518567
S3 Strong and rising,2,7,-0.007937616189690466,-0.02175917756253276,-0.023335940551680867,-0.0031296866353641775,-0.0033402905057283144,0.14285714285714285,1385.2726331909057,157.6762989147895,-0.026020699154824523
S3 Strong and rising,1,7,-0.012485875866378615,-0.026253018729372246,-0.02625301872937269,-0.003787519018764982,-0.0019564273041907648,0.14285714285714285,1382.1657592088666,0.0,-0.02625301872937269
S3 Strong and rising,10,6,-0.009366971037483629,-0.02121459388068303,-0.026378272684598802,-0.00349732159613797,-0.0011109588867643499,0.3333333333333333,1172.4818995149647,516.367880391603,-0.03517048253991539
S3 Strong and rising,5,7,-0.017606199538508283,-0.03131218192111174,-0.03131218192111207,-0.004520591320607637,-0.0016440785621800718,0.14285714285714285,1385.0960574113715,0.0,-0.03394880953398316
S1 Strong level,2,10,-0.027408846724602753,-0.046739792864094465,-0.04673979286409469,-0.004770490471745102,-0.00420071034013386,0.0,1964.1621117241202,0.0,-0.04673979286409469
S4 Rapid strengthening,40,0,,,,,,,0.0,0.0,
S4 Rapid strengthening,60,0,,,,,,,0.0,0.0,
