month,basic,inverse_vol,vol_target,trend,drawdown,tail_budget,combined,core_signal,confirmed,XLI,market_on,trailing_ann_vol,trailing_es90,shadow_drawdown,vol_multiplier,es_multiplier,dd_multiplier,trend_multiplier,combined_exposure,combined_hedge_fraction,shadow_return,core_signal_gross,core_signal_turnover
2022-07,0.1768412171933741,0.1583690482666859,0.11930104279307058,0.07918452413334295,0.03959226206667148,0.10792807351211817,0.027300400390530753,0.023205340331951138,0.0,0.09503091367071215,False,0.26550949258348105,-0.11738858527769734,-0.29344835513277845,0.7532687364732029,0.6814972666273302,0.25,0.5,0.25,0.5,0.15843306201163004,0.02321895451351827,0.00907612104475526
2022-08,0.00822379476949512,-0.003911574747527682,-0.002603293704063512,-0.001955787373763841,-0.002288323522272669,-0.002665727498648603,0.005018484917312604,0.004265712179715715,0.0,-0.028335424508573737,False,0.3158221649528519,-0.11738858527769734,-0.1815072145671106,0.6332677759645444,0.6814972666273302,0.5,0.5,0.5,0.5,-0.0038266470445453386,0.004757487923867805,0.3278504961013931
2022-09,-0.08285391380547504,-0.07207429772966896,-0.045740259877252276,-0.03603714886483448,-0.03603714886483448,-0.04911843689685377,-0.006131928568295664,-0.005212139283051305,0.0,-0.10857634778865821,False,0.3151432572885234,-0.11738858527769734,-0.18463929756546915,0.6346320137730056,0.6814972666273302,0.5,0.5,0.5,0.5,-0.07204509512930672,-0.00518631075563596,0.017219018276896918
2022-10,0.23978372912083146,0.20326051292492803,0.13269634915692166,0.10163025646246401,0.050452942462724984,0.1385214839716076,0.03189883747878708,0.02711401185696902,0.0,0.13894253983582794,False,0.3063604697262017,-0.11738858527769734,-0.24338203693706328,0.6528257388387693,0.6814972666273302,0.25,0.5,0.25,0.5,0.20331176985089994,0.0276158364310052,0.33454971602412154
2022-11,0.10812924521819699,0.11463499137564868,0.06244672008032559,0.05731749568782434,0.11355682917338311,0.07812343328235218,0.035132583313673214,0.029862695816622223,0.0,0.07811340752517237,False,0.36635419180284334,-0.11738858527769734,-0.08955269976575464,0.5459197805702514,0.6814972666273302,1.0,0.5,0.5,0.5,0.11468182917338311,0.03036599040862595,0.3355297280024857
2022-12,-0.039586545663980406,-0.040429660772949065,-0.021106802447642528,-0.041115108204015115,-0.040429660772949065,-0.02755270330743498,-0.016270732044971863,-0.013830122238226081,0.0,-0.03450648839952819,True,0.3832623934205697,-0.11738858527769734,0.0,0.5218357016847508,0.6814972666273302,1.0,1.0,0.5218357016847508,0.25,-0.040365108204015114,-0.013627778108487976,0.13489608649206997
2023-01,0.08367017221168253,0.0768398635715351,0.03997010946107022,0.0768398635715351,0.0768398635715351,0.05236615699201814,0.03455952291246551,0.029375594475595682,0.0,0.03706343549536717,True,0.38448884233711994,-0.11738858527769734,-0.040365108204015065,0.520171141467455,0.6814972666273302,1.0,1.0,0.520171141467455,0.25,0.07686443693941059,0.02938647870062007,0.007256150016257547
2023-02,0.054689576503589105,0.052501062438024555,0.029069678222382225,0.052501062438024555,0.052501062438024555,0.03577933054654454,0.030430374793446666,0.025865818574429673,0.0,-0.00864015709376531,True,0.36093314724380615,-0.11738858527769734,0.0,0.5541192365601776,0.6814972666273302,1.0,1.0,0.5541192365601776,0.25,0.05255294969688136,0.025926860909845324,0.04069489027710136
2023-03,-0.031227527821074387,-0.023404416394104163,-0.013742478301069885,-0.012407587675597905,-0.023404416394104163,-0.016911534532945353,-0.0125268351217311,-0.010647809853471435,0.0,0.0020798256907992307,False,0.3408849312565794,-0.11080484299889364,0.0,0.5867082456908684,0.721990102912729,1.0,0.5,0.5,0.5,-0.023315175351195812,-0.010415748882973374,0.15470731366537427
2023-04,-0.02204460559398136,-0.019997261857717736,-0.011672069137751496,-0.020720178788885497,-0.019997261857717736,-0.014437825146626415,-0.009895731435895819,-0.008411371720511446,0.0,-0.01166238387033014,True,0.34264665887154416,-0.11080484299889364,-0.02331517535119576,0.5836916684338037,0.721990102912729,1.0,1.0,0.5836916684338037,0.25,-0.019970178788885497,-0.0081635215860481,0.165233422975564
2023-05,0.08461418640575985,0.034962832243504896,0.02191497029174674,0.01676220224378025,0.034962832243504896,0.02524281884960857,0.026703960209665367,0.022698366178215558,0.0,-0.031500000000000083,False,0.3186816377001852,-0.11080484299889364,-0.042819745919823626,0.6275855786462333,0.721990102912729,1.0,0.5,0.5,0.5,0.0350244044875605,0.022965472048581168,0.17807058024373978
2023-06,0.17214517926544487,0.1611888383719904,0.10274650877513644,0.0805944191859952,0.1611888383719904,0.11637674600457659,0.048218358722002655,0.04098560491370225,0.0,0.10810531750129071,False,0.31374948456599816,-0.11080484299889364,-0.009295077533413632,0.6374512464192731,0.721990102912729,1.0,0.5,0.5,0.5,0.1613029392247637,0.04103706053922254,0.034303750346864004
2023-07,0.05434500936935193,0.04749446683619598,0.03050812315888828,0.04680055367270601,0.04749446683619598,0.03429053499885032,0.02449990288208847,0.020824917449775188,0.0,0.02888557584793161,True,0.3113565434532533,-0.11080484299889364,0.0,0.6423503992618924,0.721990102912729,1.0,1.0,0.6423503992618924,0.25,0.04755055367270601,0.021137669355485472,0.2085012704735238
2023-08,0.08022710843957077,0.036442635400267605,0.02511738467184269,0.036442635400267605,0.036442635400267605,0.02631122208305026,0.029298185548969593,0.024903457716624153,0.0,-0.01983336352110121,True,0.28959443205425217,-0.11080484299889364,0.0,0.6906210129155118,0.721990102912729,1.0,1.0,0.6906210129155118,0.25,0.036474115500746786,0.02498470979343711,0.05416805120863756
2023-09,-0.047941584295449556,-0.04579218910749772,-0.03213335173134568,-0.04579218910749772,-0.04579218910749772,-0.03306150732632143,-0.018661977881517564,-0.014988608527246674,0.0057094877326645,-0.06329113924050644,True,0.28505462691611766,-0.11080484299889364,0.0,0.7016199040994817,0.721990102912729,1.0,1.0,0.7016199040994817,0.25,-0.045707245728808035,-0.014532388578167736,0.3041466327192921
2023-10,-0.0530391228208773,-0.05844338813001151,-0.04266989957598493,-0.029948549924657855,-0.05844338813001151,-0.044072385268763434,-0.020849523678212106,-0.01798885915458219,-0.0024710215150983,-0.029788913000591832,False,0.2739896627143194,-0.10611734425038609,-0.04570724572880802,0.729954546528034,0.7538824172911671,1.0,0.5,0.5,0.5,-0.05839709984931571,-0.017538985898357708,0.29991550414965584
2023-11,0.1341584295615039,0.12905181700513088,0.10901787888376838,0.06452590850256544,0.06381659280458432,0.09728989575964542,0.037558692234066535,0.033259476982864696,0.0088972572260543,0.08834892232614888,False,0.23652650169663766,-0.10611734425038609,-0.1014351749854614,0.8455712089992963,0.7538824172911671,0.5,0.5,0.5,0.5,0.12913318560916864,0.03332316638533496,0.04245960164684133
2023-12,0.13727703274354106,0.13332078876229975,0.10987268572701674,0.06666039438114987,0.13266119224762546,0.10050819850728761,0.0464744747876061,0.039252165376311786,-0.0019732779654663,0.0648295189163941,False,0.2426621026283713,-0.10611734425038609,0.0,0.824191325442742,0.7538824172911671,1.0,0.5,0.5,0.5,0.13341119224762546,0.039403214678941714,0.10069953508661666
2024-01,0.034260480907930387,0.017621453021918115,0.014074633092932583,0.016939380396433393,0.017621453021918115,0.01328450360034637,0.015200024573372673,0.01820823831409595,0.0339679320970858,-0.009649969295552174,True,0.25036768993232145,-0.10611734425038609,0.0,0.7988251201824937,0.7538824172911671,1.0,1.0,0.7538824172911671,0.25,0.017689380396433394,0.018690873791824162,0.321756985152142
2024-02,0.1750205304233172,0.16306435492662272,0.1310719347709793,0.16306435492662272,0.16306435492662272,0.14601285149233154,0.11316251777545823,0.11730069852962183,0.1406991729219181,0.07183984409602262,True,0.2488161403292687,-0.08922534722960924,0.0,0.8038063758055717,0.8966062053435435,1.0,1.0,0.8038063758055717,0.25,0.16308936554636247,0.11757349728244332,0.18186583521432542
2024-03,0.09362314096609944,0.0890452696986483,0.06389720137255932,0.0890452696986483,0.0890452696986483,0.08553879881070019,0.05465588796129214,0.059987377647270405,0.0900847592369108,0.040991735537190044,True,0.27828327261218233,-0.08322243438517184,0.0,0.7186921374132377,0.961279258303624,1.0,1.0,0.7186921374132377,0.25,0.08908525555962,0.06017428528888793,0.12460509441168244
2024-04,0.0254584992388963,0.019847078551395104,0.014723825542068298,0.019847078551395104,0.019847078551395104,0.01907858494937885,0.023049600512110958,0.019340722919057217,-0.0021215521426247,-0.03524928548745632,True,0.26940761319073014,-0.08322243438517184,0.0,0.742369518185842,0.961279258303624,1.0,1.0,0.742369518185842,0.25,0.019893168570615988,0.019645261288713613,0.20302557977093094
2024-05,0.05034422242407803,0.056691113290832956,0.043654519045889684,0.056691113290832956,0.056691113290832956,0.056681606156172445,0.03979323919927125,0.033824253319380576,0.0,0.01637590520079013,True,0.25969431496334827,-0.07014234818784833,0.0,0.7701362273880613,1.0,1.0,1.0,0.7701362273880613,0.25,0.05674217097971247,0.033863529481828705,0.026184108298754727
2024-06,-0.010333873702112868,-0.009891114268164913,-0.0076592124140105,-0.009891114268164913,-0.009891114268164913,-0.009891114268164913,-0.004515944676148321,-0.0038385529747260705,0.0,-0.013278277062585997,True,0.25825489616232716,-0.07014234818784833,0.0,0.7744286864334576,1.0,1.0,1.0,0.7744286864334576,0.25,-0.00976036618853595,-0.0037516500308755413,0.05793529590035282
2024-07,0.02526079209837319,0.02352643585942043,0.01933001363082254,0.011049433186339577,0.02352643585942043,0.02352643585942043,-0.0035793363680741504,-0.0030424359128630248,0.0,0.04915073438910311,False,0.24308522057319984,-0.05871648023581016,-0.00976036618853593,0.8227567251040437,1.0,1.0,0.5,0.5,0.5,0.023598866372679154,-0.002608825520688189,0.2890735947832238
2024-08,0.04408258701346149,0.0460733081227266,0.03771311167940885,0.04535522805920911,0.0460733081227266,0.0460733081227266,0.0304406739138095,0.025874572826738076,0.0,0.02815579540122015,True,0.2443389993241619,-0.05871648023581016,0.0,0.8185349066387154,1.0,1.0,1.0,0.8185349066387154,0.25,0.04610522805920911,0.0263618841845697,0.3248742385544159
2024-09,0.0816122046443536,0.07134395899872081,0.058453134189680706,0.07134395899872081,0.07134395899872081,0.07134395899872081,0.05118221546369345,0.04350488314413944,0.0,0.03027536893351579,True,0.24410743476701427,-0.05871648023581016,0.0,0.8193113830837961,1.0,1.0,1.0,0.8193113830837961,0.25,0.0714824188143142,0.04360272642496376,0.06522885388288241
2024-10,-0.009795384082036744,-0.01570405530279697,-0.014173958254373462,-0.01570405530279697,-0.01570405530279697,-0.01570405530279697,-0.010955575628599319,-0.009312239284309421,0.0,-0.011887182516243211,True,0.22270843222148085,-0.048156484594046284,0.0,0.8980351484900331,1.0,1.0,1.0,0.8980351484900331,0.25,-0.01565180675822969,-0.00916714931759529,0.09672664447608821
2024-11,0.14691719678639698,0.1408362498747905,0.13956893446521323,0.1408362498747905,0.1408362498747905,0.1408362498747905,0.11677138344989085,0.09925567593240722,0.0,0.07591720839871474,True,0.2016902747779658,-0.048156484594046284,-0.015651806758229636,0.9916194532442054,1.0,1.0,1.0,0.9916194532442054,0.25,0.1409183831667855,0.09943029429121851,0.11641223920752859
2024-12,-0.12414463245597601,-0.1200431796397771,-0.11634967371145698,-0.1200431796397771,-0.1200431796397771,-0.1200431796397771,-0.09031979384744561,-0.07677182477032876,0.0,-0.08493645392041127,True,0.20636173678137226,-0.048156484594046284,0.0,0.9691719168456499,1.0,1.0,1.0,0.9691719168456499,0.25,-0.11991565212434085,-0.07665201463818141,0.07987342143156342
2025-01,-0.022858868694602283,-0.022283741687465997,-0.017430224692336842,-0.011834584151121043,-0.011834584151121043,-0.022283741687465997,-0.02831584062188389,-0.024068464528601303,0.0,0.0500151791135397,False,0.25874517237015515,-0.0746733325674882,-0.11991565212434097,0.7729612814336277,1.0,0.5,0.5,0.5,0.5,-0.022169168302242085,-0.02344072594641882,0.41849238812165557
2025-02,-0.1017631473587911,-0.07594396627094674,-0.05721699663272313,-0.07663584486533423,-0.03797198313547337,-0.07594396627094674,-0.03596869525193449,-0.030573390964144315,0.0,-0.014600650524033143,True,0.2655216288979206,-0.0746733325674882,-0.1394263901525653,0.7532343064861572,1.0,0.5,1.0,0.5,0.25,-0.07588584486533423,-0.030326060769967095,0.1648867961181463
