month,variant,ticker,weight,hedge_weight,gross_exposure,net_exposure,turnover,cost
2023-09,tail_budget,MOD,0.06751502823040416,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,AAON,0.0982674850427462,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,VRT,0.053272614546677304,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,NVT,0.13730707818244073,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,JCI,0.11060391440810706,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,TT,0.1416085091903203,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,SPXC,0.1134154733120332,0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,tail_budget,XLI_HEDGE,0.0,-0.0,0.7219901029127289,0.7219901029127289,0.040885519147949745,6.132827872192462e-05
2023-09,combined,MOD,0.06561016202463904,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,AAON,0.09549497029618255,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,VRT,0.051769583209766476,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,NVT,0.1334331019745141,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,JCI,0.10748334015518152,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,TT,0.13761317258637373,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,SPXC,0.11021557385282424,0.0,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,combined,XLI_HEDGE,0.0,-0.21286912657734508,0.7016199040994816,0.4887507775221365,0.043729364554378,6.559404683156701e-05
2023-09,confirmed,MOD,0.5771037710703806,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,confirmed,AAON,0.0,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,confirmed,VRT,0.4228962289296194,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
2023-09,confirmed,NVT,0.0,0.0,1.0,0.14171323815251546,1.8582867618474845,0.0027874301427712267
