episode,ticker,sessions,annualized_realized_vol,mean_atr_pct,trend_up_share,trend_down_share,mean_book_imbalance,median_spread_bps,mean_short_volume_ratio,last_short_interest,shares_outstanding_proxy,short_interest_pct_shares
2023-04 to 2024-08,PLMR,357,0.36226927189076685,0.032118791332779846,0.36694677871148457,0.0700280112044818,-0.5437561673761965,33.0500472143533,47.897000000000006,496284.0,,
2023-04 to 2024-08,KNSL,357,0.4131773050108812,0.027736886113921826,0.33613445378151263,0.16246498599439776,0.08889986192024406,0.26057613383166534,57.872299999999996,1369398.0,,
2023-04 to 2024-08,MCY,357,0.3368942551483846,0.02754490871890245,0.38935574229691877,0.08123249299719888,-0.26298533691784415,8.959770629871366,52.67940000000001,559324.0,,
2023-04 to 2024-08,LMND,357,0.8310293861308492,0.060083319079690355,0.21008403361344538,0.21008403361344538,0.3137668933868608,6.058770069676802,47.70269999999999,16619291.0,,
2023-04 to 2024-08,CINF,357,0.21251867014527007,0.018196671293785667,0.37815126050420167,0.09523809523809523,-0.1819147143619837,2.5011463587466696,54.267300000000006,2271080.0,,
2023-04 to 2024-08,PGR,357,0.2521292725591316,0.01927741399990502,0.484593837535014,0.0392156862745098,0.1945908324796635,3.008876184746537,33.1728,4614418.0,,
2023-04 to 2024-08,AIZ,357,0.21271838588153763,0.018382545705882512,0.40896358543417366,0.08403361344537816,-0.15619296839654592,2.882758223068487,56.28889999999999,1031649.0,,
2023-04 to 2024-08,AIG,357,0.1946484285425669,0.018177135129127397,0.42016806722689076,0.0784313725490196,0.12475247680196473,1.4362657091548876,40.224700000000006,8548688.0,,
2023-04 to 2024-08,BAP,357,0.2553554553855446,0.0237473774209807,0.3277310924369748,0.17366946778711484,0.0062460328194194744,7.149124232280585,43.4101,918449.0,,
2023-04 to 2024-08,ALL,357,0.2302056652330397,0.020358726355480392,0.42857142857142855,0.10644257703081232,-0.2541201906449715,0.7140561962240227,43.3151,2517211.0,,
2023-04 to 2024-08,HIG,357,0.19301935018531885,0.016229413915678927,0.5294117647058824,0.05042016806722689,0.08374967374361446,1.9333011116477548,54.7301,4384359.0,,
2025-04 to 2025-06,ROOT,64,0.8130354045694849,0.059647192369569835,0.0,0.484375,0.18181818181818185,59.14826498422657,,1571030.0,,
2025-04 to 2025-06,PLMR,64,0.44003450890346263,0.03468530265602442,0.0,0.59375,-0.9000000000000001,33.0500472143533,,496284.0,,
2025-04 to 2025-06,KNSL,64,0.25220008334033256,0.026121265946527722,0.15625,0.3125,0.0,0.26057613383166534,,1369398.0,,
2025-04 to 2025-06,MCY,64,0.23761022460615874,0.024188953244389206,0.8125,0.0,-0.6734693877551019,8.959770629871366,,559324.0,,
2025-04 to 2025-06,LMND,64,0.808582672551614,0.06392864449864322,0.34375,0.0,0.40677966101694907,6.058770069676802,,16619291.0,,
2025-04 to 2025-06,CINF,64,0.20754597282027187,0.018284598873142717,0.546875,0.0,-0.875,0.8504486116430765,,2271080.0,,
2025-04 to 2025-06,PGR,64,0.1896934217205818,0.017741458493950462,0.0,0.5,0.1875,3.315100281783201,,4614418.0,,
2025-04 to 2025-06,AIZ,64,0.2950366894720186,0.019002199782628664,0.28125,0.21875,-0.7272727272727274,2.882758223068487,,1031649.0,,
2025-04 to 2025-06,AIG,64,0.19075841412323918,0.016563387891486436,0.015625,0.40625,0.3333333333333333,1.2692771466656239,,8548688.0,,
2025-04 to 2025-06,BAP,64,0.20103969777925382,0.021703100701701068,0.75,0.0,0.5862068965517241,15.116243915711824,,918449.0,,
2025-04 to 2025-06,ALL,64,0.24799101161461345,0.019010335795881687,0.234375,0.171875,-0.8192419825072886,0.5969258319648354,,2517211.0,,
2025-04 to 2025-06,HIG,64,0.18199459025075052,0.01572699812802128,0.25,0.125,-0.44444444444444453,1.9333011116477548,,4384359.0,,
