episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2009-05 to 2010-04,HIG,Core MA + ATR,-0.20091330525471696,79908.6694745283,0.1739848882400836,-1.2065124209361544,-0.25077072663236477,0.41025641025641024,0.11155378486055777,11,0
2009-05 to 2010-04,HIG,Enhanced short/order-book,-0.1878068997854011,81219.3100214599,0.1696100984728502,-1.145910249255906,-0.23848206920531645,0.3888888888888889,0.10358565737051793,10,0
2012-06 to 2012-12,MCY,Core MA + ATR,-0.029304834713445138,97069.51652865548,0.08403969974888381,-0.5905210940065307,-0.06242996142375379,0.4878048780487805,0.24113475177304963,10,2
2012-06 to 2012-12,MCY,Enhanced short/order-book,-0.04249743098862002,95750.256901138,0.07793500659275517,-0.9567831160896028,-0.06242996142375379,0.5,0.14893617021276595,6,2
2012-06 to 2012-12,CINF,Core MA + ATR,0.06551083263812307,106551.08326381231,0.1145803446953695,1.0446791105555706,-0.024580697791164785,0.4594594594594595,0.20567375886524822,8,0
2012-06 to 2012-12,CINF,Enhanced short/order-book,0.06551083263812307,106551.08326381231,0.1145803446953695,1.0446791105555706,-0.024580697791164785,0.4594594594594595,0.20567375886524822,8,0
2012-06 to 2012-12,PGR,Core MA + ATR,0.009395658954186814,100939.56589541868,0.07571998208933486,0.2583986935579017,-0.06062549284277563,0.5238095238095238,0.2127659574468085,11,0
2012-06 to 2012-12,PGR,Enhanced short/order-book,0.009395658954186814,100939.56589541868,0.07571998208933486,0.2583986935579017,-0.06062549284277563,0.5238095238095238,0.2127659574468085,11,0
2012-06 to 2012-12,AIZ,Core MA + ATR,-0.01947797719460942,98052.20228053906,0.12210661402216849,-0.22711813942344145,-0.08605825983951298,0.5882352941176471,0.19858156028368795,8,2
2012-06 to 2012-12,AIZ,Enhanced short/order-book,-0.012349214524831731,98765.07854751682,0.11397064231322523,-0.1381790837091844,-0.0794135607832217,0.5833333333333334,0.14184397163120568,6,2
2012-06 to 2012-12,AIG,Core MA + ATR,-0.02545108366668225,97454.89163333178,0.05517916250090958,-0.807440606238785,-0.07118795113826337,0.5555555555555556,0.07801418439716312,7,0
2012-06 to 2012-12,AIG,Enhanced short/order-book,-0.04458560001748979,95541.43999825102,0.036543881984619365,-2.2119199356666654,-0.04534329798498138,0.25,0.02127659574468085,1,0
2012-06 to 2012-12,BAP,Core MA + ATR,0.009912233075600296,100991.22330756002,0.07287925770000961,0.27793428569747497,-0.047263297946566585,0.46153846153846156,0.19858156028368795,10,0
2012-06 to 2012-12,BAP,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2012-06 to 2012-12,ALL,Core MA + ATR,0.006790797042851793,100679.07970428518,0.06308805508447958,0.22312355256060742,-0.04794730736378294,0.5185185185185185,0.1347517730496454,8,1
2012-06 to 2012-12,ALL,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2012-06 to 2012-12,HIG,Core MA + ATR,0.06043604334002084,106043.60433400208,0.11082547896078684,1.0010191935144612,-0.04588013000766222,0.5675675675675675,0.1773049645390071,11,0
2012-06 to 2012-12,HIG,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2014-03 to 2016-06,MCY,Core MA + ATR,-0.13925718572004564,86074.28142799543,0.09979893015886467,-0.5918236836092003,-0.16745763236263034,0.5,0.2016949152542373,40,3
2014-03 to 2016-06,MCY,Enhanced short/order-book,-0.032410353720791374,96758.96462792087,0.0667961608459141,-0.17710026998445816,-0.08720638993441998,0.5238095238095238,0.10847457627118644,22,2
2014-03 to 2016-06,CINF,Core MA + ATR,0.02365614479997591,102365.61447999759,0.0695939445439884,0.1782100113041679,-0.12916473180181154,0.5324675324675324,0.2,36,1
2014-03 to 2016-06,CINF,Enhanced short/order-book,0.015560771137375307,101556.07711373753,0.05348891404151259,0.15000033065599283,-0.07427806596879338,0.5346534653465347,0.1271186440677966,25,0
2014-03 to 2016-06,PGR,Core MA + ATR,-0.10589117372042445,89410.88262795756,0.08249845936494894,-0.5381419742071581,-0.16101451709981374,0.4647887323943662,0.19491525423728814,32,4
2014-03 to 2016-06,PGR,Enhanced short/order-book,0.002056624159713305,100205.66241597132,0.0735369877640754,0.048700381299018054,-0.11968827428240247,0.49137931034482757,0.15084745762711865,29,2
2014-03 to 2016-06,AIZ,Core MA + ATR,0.05351188237489768,105351.18823748977,0.12953190260727937,0.23375535346219006,-0.12270762321785,0.4764705882352941,0.23220338983050848,35,1
2014-03 to 2016-06,AIZ,Enhanced short/order-book,0.11907454452311139,111907.45445231114,0.06579566937321166,0.7631778017442419,-0.061124438017087446,0.4854368932038835,0.13728813559322034,23,0
2014-03 to 2016-06,AIG,Core MA + ATR,0.03893281623227396,103893.28162322739,0.10698159103849361,0.20615146856528488,-0.11097664885551572,0.5138888888888888,0.18983050847457628,35,3
2014-03 to 2016-06,AIG,Enhanced short/order-book,-0.1381634008816962,86183.65991183039,0.08675956975886902,-0.6881566666810648,-0.19984706319482537,0.4594594594594595,0.09322033898305085,22,3
2014-03 to 2016-06,BAP,Core MA + ATR,0.01622682503345496,101622.6825033455,0.13351302086706568,0.11822533793865551,-0.1778177769470456,0.49079754601226994,0.2135593220338983,39,2
2014-03 to 2016-06,BAP,Enhanced short/order-book,0.13997255342649728,113997.25534264973,0.12195709667501517,0.5196831504321144,-0.13536398679243988,0.5338983050847458,0.15423728813559323,28,2
2014-03 to 2016-06,ALL,Core MA + ATR,-0.11090366200615054,88909.63379938494,0.08800417631507276,-0.5264886330862726,-0.12659495211833838,0.4605263157894737,0.2033898305084746,35,3
2014-03 to 2016-06,ALL,Enhanced short/order-book,-0.05275404000330575,94724.59599966943,0.06873975432596592,-0.3025247522099314,-0.1360059644152487,0.4533333333333333,0.09661016949152543,19,1
2014-03 to 2016-06,HIG,Core MA + ATR,0.041368823064538596,104136.88230645386,0.09960045339391518,0.22342854112956384,-0.17498910602283746,0.48412698412698413,0.1711864406779661,26,2
2014-03 to 2016-06,HIG,Enhanced short/order-book,-0.004692711533889171,99530.72884661108,0.04774767741076908,-0.018338718671162938,-0.05375847596002559,0.3870967741935484,0.03728813559322034,9,0
2017-02 to 2017-07,KNSL,Core MA + ATR,-0.14792646833919398,85207.3531660806,0.13980503956739257,-2.1643058543752827,-0.1735022972402257,0.5161290322580645,0.18604651162790697,8,1
2017-02 to 2017-07,KNSL,Enhanced short/order-book,-0.14792646833919398,85207.3531660806,0.13980503956739257,-2.1643058543752827,-0.1735022972402257,0.5161290322580645,0.18604651162790697,8,1
2017-02 to 2017-07,MCY,Core MA + ATR,-0.09791164457596335,90208.83554240367,0.06864940485915459,-2.8966145899838067,-0.0882803523762562,0.3333333333333333,0.15503875968992248,8,1
2017-02 to 2017-07,MCY,Enhanced short/order-book,-0.045146119580946165,95485.38804190539,0.04242802765269138,-2.1053691490694795,-0.036521447653536265,0.18181818181818182,0.05426356589147287,4,0
2017-02 to 2017-07,CINF,Core MA + ATR,-0.009286925436065019,99071.3074563935,0.053812648562866536,-0.3118539762496668,-0.0492432565057751,0.5357142857142857,0.15503875968992248,10,1
2017-02 to 2017-07,CINF,Enhanced short/order-book,-0.03038331331659283,96961.66866834072,0.04150905975362141,-1.4310590749523622,-0.03038331331659283,0.5,0.046511627906976744,5,1
2017-02 to 2017-07,PGR,Core MA + ATR,0.058838826740521766,105883.88267405218,0.07551551439992962,1.516478728579343,-0.02949798885373789,0.56,0.3023255813953488,10,0
2017-02 to 2017-07,PGR,Enhanced short/order-book,0.058838826740521766,105883.88267405218,0.07551551439992962,1.516478728579343,-0.02949798885373789,0.56,0.3023255813953488,10,0
2017-02 to 2017-07,AIZ,Core MA + ATR,-0.03330945122539175,96669.05487746082,0.10995490838032097,-0.5476459637960261,-0.06253638133937645,0.3333333333333333,0.18604651162790697,7,1
2017-02 to 2017-07,AIZ,Enhanced short/order-book,-0.039651144411638306,96034.88555883618,0.043719713394598674,-1.7857607612526187,-0.041190000793175696,0.2777777777777778,0.10077519379844961,5,0
2017-02 to 2017-07,AIG,Core MA + ATR,-0.0626922233225845,93730.77766774155,0.052633288704043234,-2.375838107714734,-0.06645049044596707,0.46153846153846156,0.06976744186046512,5,1
2017-02 to 2017-07,AIG,Enhanced short/order-book,-0.0626922233225845,93730.77766774155,0.052633288704043234,-2.375838107714734,-0.06645049044596707,0.46153846153846156,0.06976744186046512,5,1
