episode,ticker,observations,active_signals,score_next_day_ic,ic_p,direction_hit_rate,mean_signed_next_day
2017-02 to 2017-07,AIZ,129,13,0.03150580549777546,0.7230075071657373,0.38461538461538464,-0.0006022705589105662
2017-02 to 2017-07,AIG,129,10,-0.0500188616292851,0.5734839013528092,0.4,-0.006136265536209518
2017-02 to 2017-07,BAP,129,0,-0.10780882226622505,0.2239458858948573,,
2017-02 to 2017-07,ALL,129,29,0.02075825414949872,0.8153741200770299,0.5517241379310345,0.000552882680017454
2017-02 to 2017-07,HIG,129,18,-0.11183155385155308,0.20703469307202307,0.7222222222222222,0.0030512884560389944
2018-06 to 2020-05,KNSL,502,123,-0.012038405329991946,0.7878818818278662,0.4959349593495935,0.00016383866319412714
2018-06 to 2020-05,MCY,502,46,-0.01659639110916724,0.7106772832249023,0.391304347826087,-0.004932827862009509
2018-06 to 2020-05,CINF,502,78,-0.02243544767637011,0.6160303854636682,0.5897435897435898,-0.0030797360738420345
2018-06 to 2020-05,PGR,502,73,-0.06393135849368947,0.1526316478747599,0.5342465753424658,-0.0020726595118829875
2018-06 to 2020-05,AIZ,502,63,0.011090445707327867,0.8042322340554208,0.5714285714285714,-0.0011814126755041146
2018-06 to 2020-05,AIG,502,72,0.05516100611055254,0.21729215393096096,0.5833333333333334,0.01247255511978902
2018-06 to 2020-05,BAP,502,83,-0.06422872564191438,0.1507282032306665,0.46987951807228917,0.0017865193045678413
2018-06 to 2020-05,ALL,502,65,-0.046148247169672627,0.3021001288591469,0.47692307692307695,-0.004412739662236858
2018-06 to 2020-05,HIG,502,94,0.018666128288002494,0.6765211342713828,0.5106382978723404,0.0022294276212481453
2023-04 to 2024-08,ROOT,357,52,-0.0824539062743935,0.11992082502192532,0.40384615384615385,-0.012031365586106487
2023-04 to 2024-08,PLMR,357,41,-0.09677108715469881,0.06780330008245293,0.4878048780487805,0.0023158947100644827
2023-04 to 2024-08,KNSL,357,76,-0.03915429818039967,0.4608262400046584,0.47368421052631576,-0.0026216566010372447
2023-04 to 2024-08,MCY,357,61,0.010124340783882045,0.8488172127554686,0.5409836065573771,-0.0004244360108816342
2023-04 to 2024-08,LMND,357,69,0.03778218038746281,0.47669775971181005,0.5507246376811594,0.004382994126627465
2023-04 to 2024-08,CINF,357,24,-0.08589318649516,0.10518763756902627,0.5,-0.0006901866266466236
2023-04 to 2024-08,PGR,357,51,-0.05271567013579635,0.3205974587093049,0.6078431372549019,0.00013120497360811592
2023-04 to 2024-08,AIZ,357,45,0.015280378557680219,0.773562216870472,0.4444444444444444,-0.00016853931500373262
2023-04 to 2024-08,AIG,357,27,-0.0794194034696013,0.13421397584821518,0.5555555555555556,0.000553644189154687
2023-04 to 2024-08,BAP,357,74,0.02295469247470056,0.6655582414950598,0.5945945945945946,0.0027728357138503534
2023-04 to 2024-08,ALL,357,38,-0.008260593886875722,0.8763998785586237,0.39473684210526316,-0.001572333584944463
2023-04 to 2024-08,HIG,357,54,-0.0665711898088735,0.2095489415285558,0.5185185185185185,0.000273870090783127
2025-04 to 2025-06,ROOT,64,0,-0.17578954492166973,0.16469729099550473,,
2025-04 to 2025-06,PLMR,64,16,-0.24472125041938744,0.05130383309018216,0.4375,-0.0022236633843800147
2025-04 to 2025-06,KNSL,64,10,-0.000898004560029364,0.9943809896180416,0.5,-0.0009665595203319554
2025-04 to 2025-06,MCY,64,13,-0.431934403507226,0.0003653701052003329,0.6153846153846154,-0.0011324584097346464
2025-04 to 2025-06,LMND,64,13,-0.038877831907132385,0.7603600733357567,0.5384615384615384,0.006826094490453187
2025-04 to 2025-06,CINF,64,0,-0.4355026302030476,0.0003223237248290697,,
2025-04 to 2025-06,PGR,64,0,-0.08378445175998875,0.5103943066168879,,
2025-04 to 2025-06,AIZ,64,0,0.021840783595121586,0.8639855674237538,,
