episode,date,series,return
2009-05 to 2010-04,2010-03-19,Core MA + ATR,-0.003067300624770279
2009-05 to 2010-04,2010-03-22,Core MA + ATR,0.0010496330783823123
2009-05 to 2010-04,2010-03-23,Core MA + ATR,0.0037009578679109457
2009-05 to 2010-04,2010-03-24,Core MA + ATR,-0.0006944797258269587
2009-05 to 2010-04,2010-03-25,Core MA + ATR,0.0037472282901809886
2009-05 to 2010-04,2010-03-26,Core MA + ATR,0.0009528224751438921
2009-05 to 2010-04,2010-03-29,Core MA + ATR,-0.0006218665890391737
2009-05 to 2010-04,2010-03-30,Core MA + ATR,-0.0012871622997272202
2009-05 to 2010-04,2010-03-31,Core MA + ATR,-6.544502617804315e-05
2009-05 to 2010-04,2010-04-01,Core MA + ATR,0.0008512310110005139
2009-05 to 2010-04,2010-04-05,Core MA + ATR,0.0006216506243496325
2009-05 to 2010-04,2010-04-06,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-07,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-08,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-09,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-12,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-13,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-14,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-15,Core MA + ATR,0.0003091798116820826
2009-05 to 2010-04,2010-04-16,Core MA + ATR,-0.003871007778757554
2009-05 to 2010-04,2010-04-19,Core MA + ATR,0.003527150145243796
2009-05 to 2010-04,2010-04-20,Core MA + ATR,0.005162393771283084
2009-05 to 2010-04,2010-04-21,Core MA + ATR,-0.004603716380702987
2009-05 to 2010-04,2010-04-22,Core MA + ATR,-1.242614271907902e-05
2009-05 to 2010-04,2010-04-23,Core MA + ATR,0.001879821112446979
2009-05 to 2010-04,2010-04-26,Core MA + ATR,-0.006537305078559066
2009-05 to 2010-04,2010-04-27,Core MA + ATR,-0.008811165880419955
2009-05 to 2010-04,2010-04-28,Core MA + ATR,0.0
2009-05 to 2010-04,2010-04-29,Core MA + ATR,0.0013567619453925019
2009-05 to 2010-04,2010-04-30,Core MA + ATR,-0.004158574728700331
2009-05 to 2010-04,2010-05-03,Core MA + ATR,0.001699188946974798
2009-05 to 2010-04,2010-05-04,Core MA + ATR,-0.003382028538065584
2009-05 to 2010-04,2010-05-05,Core MA + ATR,0.0020572103916035728
2009-05 to 2010-04,2010-05-06,Core MA + ATR,-0.016602366167190102
2009-05 to 2010-04,2010-05-07,Core MA + ATR,0.0
2009-05 to 2010-04,2010-05-10,Core MA + ATR,0.0
2009-05 to 2010-04,2010-05-11,Core MA + ATR,0.007634657901966498
2009-05 to 2010-04,2010-05-12,Core MA + ATR,-0.0014471757140699995
2009-05 to 2010-04,2010-05-13,Core MA + ATR,-0.005805960355578212
2009-05 to 2010-04,2010-05-14,Core MA + ATR,-0.013303084946689178
2009-05 to 2010-04,2010-05-17,Core MA + ATR,0.0015810650283311185
2009-05 to 2010-04,2010-05-18,Core MA + ATR,-0.005163885289695115
2009-05 to 2010-04,2010-05-19,Core MA + ATR,-0.00042997542997542937
2009-05 to 2010-04,2010-05-20,Core MA + ATR,0.00014535036667437514
2009-05 to 2010-04,2010-05-21,Core MA + ATR,-0.008782550119710124
2009-05 to 2010-04,2010-05-24,Core MA + ATR,0.007990721988263462
2009-05 to 2010-04,2010-05-25,Core MA + ATR,-0.0027323006168119505
2009-05 to 2010-04,2010-05-26,Core MA + ATR,0.0032460298282874413
2009-05 to 2010-04,2010-05-27,Core MA + ATR,-0.02009954929899163
2009-05 to 2010-04,2010-05-28,Core MA + ATR,0.0007452254840031421
2009-05 to 2010-04,2010-06-01,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-02,Core MA + ATR,-0.0019555080511049227
2009-05 to 2010-04,2010-06-03,Core MA + ATR,-0.0006743903347649278
2009-05 to 2010-04,2010-06-04,Core MA + ATR,-0.005135550586920071
2009-05 to 2010-04,2010-06-07,Core MA + ATR,0.012529258820954537
2009-05 to 2010-04,2010-06-08,Core MA + ATR,-0.009390545994433392
2009-05 to 2010-04,2010-06-09,Core MA + ATR,-9.278087604778094e-05
2009-05 to 2010-04,2010-06-10,Core MA + ATR,-0.013521385176541945
2009-05 to 2010-04,2010-06-11,Core MA + ATR,0.0003448145696672085
2009-05 to 2010-04,2010-06-14,Core MA + ATR,-0.006273735961820612
2009-05 to 2010-04,2010-06-15,Core MA + ATR,0.0009148567778375396
2009-05 to 2010-04,2010-06-16,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-17,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-18,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-21,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-22,Core MA + ATR,-0.005494984567901245
2009-05 to 2010-04,2010-06-23,Core MA + ATR,0.0005917338709677569
2009-05 to 2010-04,2010-06-24,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-25,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-28,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-29,Core MA + ATR,0.0
2009-05 to 2010-04,2010-06-30,Core MA + ATR,0.0025972146990996194
2009-05 to 2010-04,2010-07-01,Core MA + ATR,0.0017901884680584805
2009-05 to 2010-04,2010-07-02,Core MA + ATR,0.0037843715795967004
2009-05 to 2010-04,2010-07-06,Core MA + ATR,-0.00020363580126077314
2009-05 to 2010-04,2010-07-07,Core MA + ATR,-0.01593969093825042
2009-05 to 2010-04,2010-07-08,Core MA + ATR,-0.006600560795552121
2009-05 to 2010-04,2010-07-09,Core MA + ATR,-0.0013510711909430792
2009-05 to 2010-04,2010-07-12,Core MA + ATR,0.0001417041649225439
2009-05 to 2010-04,2010-07-13,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-14,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-15,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-16,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-19,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-20,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-21,Core MA + ATR,0.0
2009-05 to 2010-04,2010-07-22,Core MA + ATR,-0.006762831776555379
