ticker,company,subsector,benchmark,horizon_months,mean_return,p,n_events,confidence,q_bh
KMI,Kinder Morgan,Midstream,SPY,6,0.04346877457777759,0.7058080695730333,4,0.2941919304269667,0.9430598274107089
KMI,Kinder Morgan,Midstream,SPY,12,0.06914921677067426,0.7082660830151263,4,0.2917339169848737,0.9430598274107089
KMI,Kinder Morgan,Midstream,XLE,1,0.08085929389924593,0.12098963911206029,4,0.8790103608879397,0.7323308536013354
KMI,Kinder Morgan,Midstream,XLE,3,0.1441070101079322,0.18782328740559062,4,0.8121767125944094,0.8182771312535971
KMI,Kinder Morgan,Midstream,XLE,6,0.1310957484796289,0.03814276720918187,4,0.9618572327908181,0.7323308536013354
KMI,Kinder Morgan,Midstream,XLE,12,0.24829084606431706,0.12361675008693941,4,0.8763832499130606,0.7323308536013354
WMB,Williams,Midstream,SPY,1,-0.02979717836288528,0.5183989120362231,7,0.4816010879637769,0.9430598274107089
WMB,Williams,Midstream,SPY,3,-0.02963421447306864,0.7121202077743013,7,0.2878797922256987,0.9430598274107089
WMB,Williams,Midstream,SPY,6,0.015131783902672209,0.7610686117852014,7,0.23893138821479865,0.9541755729844315
WMB,Williams,Midstream,SPY,12,0.1057765286158906,0.25820831849478465,7,0.7417916815052154,0.9430598274107089
WMB,Williams,Midstream,XLE,1,-0.019553842931488145,0.6187987224551303,7,0.38120127754486965,0.9430598274107089
WMB,Williams,Midstream,XLE,3,0.014885400369573167,0.8442617740711742,7,0.1557382259288258,0.9715277550339889
WMB,Williams,Midstream,XLE,6,0.047914471640693256,0.4620955278049634,7,0.5379044721950366,0.9430598274107089
WMB,Williams,Midstream,XLE,12,0.14392897454981338,0.12873432494151105,7,0.871265675058489,0.7323308536013354
XLE,Energy Select Sector SPDR,Sector ETF,SPY,1,-0.010565922573314361,0.6245924179706918,7,0.37540758202930824,0.9430598274107089
XLE,Energy Select Sector SPDR,Sector ETF,SPY,3,-0.029500530302328704,0.6792176551935977,7,0.32078234480640233,0.9430598274107089
XLE,Energy Select Sector SPDR,Sector ETF,SPY,6,-0.013156097469926489,0.8483680312200487,7,0.15163196877995133,0.9715277550339889
XLE,Energy Select Sector SPDR,Sector ETF,SPY,12,-0.006433479448434405,0.9492391852455278,7,0.05076081475447225,0.9715277550339889
